GEOID,NAME,REGION,mabr,totpop,white,black,aian,asian,hisp,povden,totpov,bpovden,bpov,wpovden,wpov,medinc,bmedimc,wmedinc,gini,popo25,tothh,own,rent,medval,medrent,poc,pctw,pctb,pctai,pcta,pcth,pctp,other,pcto,u18,pctu18,o65,pcto65,pctpov,nonpov,pctbpov,pctwpov,ppov,ppovden,pctppov,nohs,bach,pctnhs,pctbach,pctown,pctrent,av_coli,afflim,METRON.x,dis_wb,dis_wp,iso_b,iso_w,iso_p,dis_pov,dis_aff,iso_pov,iso_aff,iso_waff,iso_wpov,iso_paff,iso_ppov,dis_waff,dis_ppov,dis_paff,dis_wppov,METRON.y,n_tracts,con_wht,con_poc,con_blk,con_pov,con_aff,rcap_p,rcap_w,rcaa_w,rcaa_p,pconw,pconp,pconb,pconpv,pconaf,prcapp,prcapw,prcaaw,prcaap,rt_cacp,ccpop,ccppop,ccbpop,wpop_cnw,wpop_cnw50,ppop_conp,bpop_conb,aff_cona,pov_conp,ppov_rcp,wpov_rcp,affhh,waffhh,paffhh,waff_rca,paff_rca,waff_cona,paff_cona,shrw_conw,shrp_conp,shrb_conb,shrw_conw50,shr_waff,shra_cona,shr_ppov,rcapw_type
12060,"Atlanta-Sandy Springs-Roswell, GA",South,Atla,5612777,2740530,1846744,9555,305051,584778,5518731,820456,1837840,378781,2703782,231892,59183,45057,72070,0.47,3662633,1994730,1256742,737988,173300,1003,2872247,48.83,32.9,0.17,5.43,10.42,51.17,126119,2.25,1892343,33.71,683160,12.17,14.87,4698275,20.61,8.58,588564,5286839,11.13,4021380,2235565,109.79,61.04,63,37,0.98,96286.96,"Atlanta-Sandy Springs-Roswell, GA",0.59,0.5,0.58,0.66,0.67,0.33,0.35,0.22,0.14,0.12,0.07,0.04,0.21,0.43,0.45,0.32,0.34,"Atlanta-Sandy Springs-Roswell, GA",946,51,458,253,50,114,50,0,13,3,5.39,48.41,26.74,5.29,12.05,5.29,0,1.37,0.32,2.28,453458,284452,235234,218852,2115763,2079010,1069169,132281,86003,79825,0,528775,369249,159526,11468,2454,108134,24147,7.99,72.38,57.89,77.2,18.51,25.02,10.49,Low-RCAA/High-RCAP
12420,"Austin-Round Rock, TX",South,Aust,1942615,1036372,136105,3403,101566,620513,1901229,252295,135942,27323,1015365,81982,66093,47226,75775,0.46,1273383,706066,410054,296012,223500,1098,906243,53.35,7.01,0.18,5.23,31.94,46.65,44656,2.3,1055407,54.33,207709,10.69,13.27,1648934,20.1,8.07,170313,1819247,9.36,1396985,774942,109.71,60.86,58.08,41.92,0.95,93339.4,"Austin-Round Rock, TX",0.49,0.36,0.13,0.62,0.56,0.39,0.34,0.23,0.15,0.13,0.08,0.04,0.2,0.36,0.47,0.28,0.31,"Austin-Round Rock, TX",347,7,130,0,10,56,6,0,3,1,2.02,37.46,0,2.88,16.14,1.73,0,0.86,0.29,5.6,910139,459840,62916,27663,787202,538213,0,74399,27898,14235,0,217016,160587,56429,2421,250,58113,16286,2.67,59.39,0,75.96,22.74,34.28,8.77,Low-RCAA/Low-RCAP
12580,"Baltimore-Columbia-Towson, MD",South,Balt,2780873,1614431,795489,5362,144042,146356,2712288,292651,780636,150014,1580339,100471,72801,49938,85688,0.46,1901043,1040674,686517,354157,280500,1180,1166442,58.05,28.61,0.19,5.18,5.26,41.95,75193,2.7,713592,25.66,406459,14.62,10.79,2419637,19.22,6.36,192180,2611817,7.36,2057816,1209397,108.25,63.62,65.97,34.03,1.16,113972.32,"Baltimore-Columbia-Towson, MD",0.64,0.52,0.6,0.73,0.63,0.38,0.35,0.2,0.17,0.15,0.06,0.06,0.2,0.41,0.53,0.36,0.34,"Baltimore-Columbia-Towson, MD",671,90,243,167,24,149,22,0,37,8,13.41,36.21,24.89,3.58,22.21,3.28,0,5.51,1.19,6.21,614983,443784,382736,341710,1401893,739221,469173,153656,25949,23986,0,370640,274778,95862,33923,5286,124866,28790,21.17,63.37,58.98,86.84,26.4,41.46,6.91,High-RCAA/Low-RCAP
13820,"Birmingham-Hoover, AL",South,Birm,1141309,732702,324757,2210,15287,48500,1117850,181343,316670,82107,720191,77887,50529,34801,59714,0.48,775758,439027,303689,135338,149e3,806,408607,64.2,28.45,0.19,1.34,4.25,35.8,17853,1.56,292711,25.65,175089,15.34,16.22,936507,25.93,10.81,103456,1039963,9.95,859832,444742,110.84,57.33,69.17,30.83,0.88,86461.76,"Birmingham-Hoover, AL",0.65,0.55,0.62,0.78,0.61,0.34,0.38,0.24,0.12,0.11,0.12,0.03,0.24,0.42,0.53,0.42,0.35,"Birmingham-Hoover, AL",263,44,90,80,18,18,17,0,8,0,16.73,34.22,30.42,6.84,6.84,6.46,0,3.04,0,1,0,0,0,194580,672501,250680,213354,18673,24567,22124,0,90958,74818,16140,7089,0,16741,1932,26.56,61.35,65.7,91.78,17.04,20.53,9.06,High-RCAA/High-RCAP
14460,"Boston-Cambridge-Newton, MA-NH",Northeast,Bost,4728844,3425461,341183,4951,345939,485208,4571659,467242,362085,75705,3320625,222643,77809,45902,85607,0.48,3268528,1784448,1094648,689800,379200,1274,1303383,72.44,7.21,0.1,7.32,10.26,27.56,126102,2.67,1374687,29.07,695463,14.71,10.22,4104417,20.91,6.7,244599,4349016,5.62,3513717,2195515,107.5,67.17,61.34,38.66,1.45,142465.4,"Boston-Cambridge-Newton, MA-NH",0.64,0.47,0.33,0.79,0.5,0.38,0.29,0.18,0.18,0.16,0.07,0.04,0.17,0.32,0.56,0.32,0.28,"Boston-Cambridge-Newton, MA-NH",901,199,188,37,23,252,16,0,77,0,22.09,20.87,4.11,2.55,27.97,1.78,0,8.55,0,10.96,665364,363223,150309,940144,2794743,601331,103456,268226,33585,21890,0,639737,536216,103521,78080,0,236596,31630,27.45,46.14,30.32,81.59,30.05,41.93,5.17,High-RCAA/Low-RCAP
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",Northeast,Buff,1135503,887996,135182,6019,32662,52307,1105421,160595,132384,47059,870015,79502,52303,26914,58489,0.46,788031,470460,312124,158336,129800,738,247507,78.2,11.91,0.53,2.88,4.61,21.8,21337,1.88,266039,23.43,190635,16.79,14.53,944826,35.55,9.14,81093,1025919,7.9,846953,476024,107.48,60.41,66.34,33.66,0.95,93339.4,"Buffalo-Cheektowaga-Niagara Falls, NY",0.72,0.57,0.54,0.87,0.53,0.43,0.33,0.27,0.12,0.11,0.11,0.02,0.27,0.34,0.66,0.48,0.29,"Buffalo-Cheektowaga-Niagara Falls, NY",290,129,52,29,27,5,23,0,1,0,44.48,17.93,10,9.31,1.72,7.93,0,0.34,0,0.19,259813,142786,94525,527220,848503,126117,71904,7259,40138,29545,0,101357,92600,8757,1591,0,6408,851,59.37,50.95,53.19,95.55,19.68,7.16,7.14,Low-RCAA/High-RCAP
16740,"Charlotte-Concord-Gastonia, NC-SC",South,Char,2381152,1491318,521944,7296,77281,229320,2345170,330068,517504,115542,1471748,137330,55191,38381,63705,0.48,1586447,885916,579260,306656,170400,893,889834,62.63,21.92,0.31,3.25,9.63,37.37,53993,2.27,767288,32.22,320953,13.48,14.07,2015102,22.33,9.33,192738,2207840,8.73,1756671,919265,110.73,57.94,65.39,34.61,0.95,93339.4,"Charlotte-Concord-Gastonia, NC-SC",0.53,0.46,0.41,0.73,0.55,0.34,0.38,0.21,0.13,0.12,0.09,0.03,0.19,0.4,0.48,0.38,0.32,"Charlotte-Concord-Gastonia, NC-SC",535,55,162,67,12,44,11,0,10,0,10.28,30.28,12.52,2.24,8.22,2.06,0,1.87,0,3.67,801429,456859,275393,221451,1305485,494399,171307,46473,16205,13421,0,212729,172281,40448,9984,0,39654,6819,14.85,55.56,32.82,87.54,19.45,21.85,8.09,Low-RCAA/Low-RCAP
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Midwest,Chic,9528396,5120829,1581068,9649,586358,2057681,9370576,1275936,1567779,445178,5037951,353785,63327,36017,76163,0.48,6360970,3464942,2223994,1240948,216e3,1005,4407567,53.74,16.59,0.1,6.15,21.6,46.26,172811,1.81,4132507,43.37,1300676,13.65,13.62,8094640,28.4,7.02,922151,9016791,10.23,7026858,3884541,110.47,61.07,64.19,35.81,1.09,107094.68,"Chicago-Naperville-Elgin, IL-IN-WI",0.76,0.53,0.63,0.71,0.66,0.37,0.34,0.23,0.15,0.13,0.07,0.04,0.24,0.41,0.51,0.31,0.33,"Chicago-Naperville-Elgin, IL-IN-WI",2199,152,969,405,141,304,135,0,56,4,6.91,44.07,18.42,6.41,13.82,6.14,0,2.55,0.18,2.16,2724039,1836906,827305,633357,4351696,2977147,1035759,294382,161101,146840,0,1038708,783474,255234,47594,1894,249344,45038,12.37,67.55,65.51,84.98,22.61,28.34,9.68,High-RCAA/High-RCAP
17140,"Cincinnati, OH-KY-IN",Midwest,Cinc,2146410,1725448,260490,2336,47771,62532,2097474,289442,253909,83981,1688740,173977,56861,28706,62189,0.47,1425750,830512,547447,283065,156100,767,420962,80.39,12.14,0.11,2.23,2.91,19.61,47833,2.23,537019,25.02,309170,14.4,13.8,1808032,33.08,10.3,115465,1923497,6,1546525,886819,108.47,62.2,65.92,34.08,0.91,89409.32,"Cincinnati, OH-KY-IN",0.67,0.5,0.46,0.86,0.43,0.39,0.34,0.25,0.13,0.12,0.15,0.02,0.23,0.35,0.61,0.47,0.35,"Cincinnati, OH-KY-IN",494,212,73,55,47,32,26,2,13,0,42.91,14.78,11.13,9.51,6.48,5.26,0.4,2.63,0,0.68,300552,152962,128266,966549,1658196,166104,119252,37334,57977,27054,4638,206277,185937,20340,10495,0,32752,4582,56.02,39.46,45.78,96.1,22.39,18.1,5.38,High-RCAA/High-RCAP
17460,"Cleveland-Elyria, OH",Midwest,Clev,2061630,1456689,406025,3104,43433,109928,2020037,306058,402066,134175,1430332,129070,51001,27537,59580,0.48,1427800,848772,552050,296722,140200,758,604941,70.66,19.69,0.15,2.11,5.33,29.34,42451,2.06,522154,25.33,347980,16.88,15.15,1713979,33.37,9.02,176988,1890967,9.36,1552112,856381,108.71,59.98,65.04,34.96,0.99,97269.48,"Cleveland-Elyria, OH",0.73,0.59,0.63,0.83,0.6,0.43,0.38,0.28,0.13,0.12,0.1,0.02,0.3,0.41,0.63,0.41,0.32,"Cleveland-Elyria, OH",632,181,213,159,90,30,81,0,15,0,28.64,33.7,25.16,14.24,4.75,12.82,0,2.37,0,0.33,394470,259619,198631,716398,1349465,369539,266644,28667,86142,66858,0,181768,159048,22720,15420,0,26147,2520,49.18,61.09,65.67,92.64,18.74,15.77,8.58,High-RCAA/High-RCAP
