GEOID,NAME,mabr,totpop,white,black,aian,asian,hisp,povden,totpov,bpovden,bpov,wpovden,wpov,medinc,bmedimc,wmedinc,gini,popo25,tothh,own,rent,medval,medrent,poc,pctw,pctb,pctai,pcta,pcth,pctp,other,pcto,u18,pctu18,o65,pcto65,pctpov,nonpov,pctbpov,pctwpov,ppov,ppovden,pctppov,nohs,bach,pctnhs,pctbach,pctown,pctrent,dis_wb,dis_wp,iso_b,iso_w,iso_p,dis_pov,dis_aff,iso_pov,iso_aff,iso_waff,iso_wpov,iso_paff,iso_ppov,dis_waff,dis_ppov,dis_paff,dis_wppov,n_tracts,con_wht,con_poc,con_blk,con_pov,con_aff,rcap_p,rcap_w,rcaa_w,rcaa_p,pconw,pconp,pconb,pconpv,pconaf,prcapp,prcapw,prcaaw,prcaap,rt_cacp,ccpop,ccppop,ccbpop,wpop_cnw,wpop_cnw50,ppop_conp,bpop_conb,aff_cona,pov_conp,ppov_rcp,wpov_rcp,waff_rca,paff_rca,waff_cona,paff_cona,affhh,waffhh,paffhh,shrw_conw,shrp_conp,shrb_conb,shrw_conw50,shr_waff,shra_cona,shrwa_conwa,shrpp_conpp,shr_ppov,rcapw_type,Region
12060,"Atlanta-Sandy Springs-Roswell, GA",Atla,5612777,2740530,1846744,9555,305051,584778,5518731,820456,1837840,378781,2703782,231892,59183,45057,72070,0.47,3662633,1994730,1256742,737988,173300,1003,2872247,48.83,32.9,0.17,5.43,10.42,51.17,126119,2.25,1427451,25.43,603617,10.75,14.87,4698275,20.61,8.58,588564,5286839,11.13,420586,1336324,11.48,36.49,63,37,0.59,0.5,0.58,0.66,0.67,0.33,0.39,0.22,0.11,0.09,0.07,0.03,0.21,0.45,0.45,0.36,0.34,946,184,458,253,50,50,50,0,31,1,19.45,48.41,26.74,5.29,5.29,5.29,0,3.28,0.11,1,451347,282364,233170,865414,2115763,2079010,1069169,51450,86003,79825,0,29154,914,43081,8369,354286,258956,95330,31.58,72.38,57.89,77.2,12.98,14.52,11.26,13.56,10.49,High-RCAA/High-RCAP,South
12420,"Austin-Round Rock, TX",Aust,1942615,1036372,136105,3403,101566,620513,1901229,252295,135942,27323,1015365,81982,66093,47226,75775,0.46,1273383,706066,410054,296012,223500,1098,906243,53.35,7.01,0.18,5.23,31.94,46.65,44656,2.3,470915,24.24,184974,9.52,13.27,1648934,20.1,8.07,170313,1819247,9.36,141105,535265,11.08,42.03,58.08,41.92,0.49,0.36,0.13,0.62,0.56,0.39,0.37,0.23,0.12,0.1,0.08,0.03,0.2,0.39,0.47,0.32,0.31,347,39,130,0,10,24,6,0,6,0,11.24,37.46,0,2.88,6.92,1.73,0,1.73,0,2.4,866026,437268,59887,152168,787202,538213,0,29544,27898,14235,0,4362,0,23525,6019,145845,110956,34889,14.68,59.39,0,75.96,15.71,20.26,3.93,8.36,8.77,High-RCAA/Low-RCAP,South
12580,"Baltimore-Columbia-Towson, MD",Balt,2780873,1614431,795489,5362,144042,146356,2712288,292651,780636,150014,1580339,100471,72801,49938,85688,0.46,1901043,1040674,686517,354157,280500,1180,1166442,58.05,28.61,0.19,5.18,5.26,41.95,75193,2.7,618998,22.26,389868,14.02,10.79,2419637,19.22,6.36,192180,2611817,7.36,186278,723882,9.8,38.08,65.97,34.03,0.64,0.52,0.6,0.73,0.63,0.38,0.36,0.2,0.13,0.12,0.06,0.04,0.2,0.42,0.53,0.38,0.34,671,221,243,167,24,51,22,0,28,1,32.94,36.21,24.89,3.58,7.6,3.28,0,4.17,0.15,2.12,614983,443784,382736,789667,1401893,739221,469173,46046,25949,23986,0,19449,376,37606,8440,261619,199172,62447,48.91,63.37,58.98,86.84,19.14,17.6,9.76,12.48,6.91,High-RCAA/Low-RCAP,South
13820,"Birmingham-Hoover, AL",Birm,1141309,732702,324757,2210,15287,48500,1117850,181343,316670,82107,720191,77887,50529,34801,59714,0.48,775758,439027,303689,135338,149000,806,408607,64.2,28.45,0.19,1.34,4.25,35.8,17853,1.56,266223,23.33,166086,14.55,16.22,936507,25.93,10.81,103456,1039963,9.95,97353,223779,12.55,28.85,69.17,30.83,0.65,0.55,0.62,0.78,0.61,0.34,0.42,0.24,0.09,0.09,0.12,0.02,0.24,0.45,0.53,0.48,0.35,263,100,90,80,18,4,17,0,4,0,38.02,34.22,30.42,6.84,1.52,6.46,0,1.52,0,0.22,205123,154438,143147,420558,672501,250680,213354,2820,24567,22124,0,2714,0,2714,106,57075,48176,8899,57.4,61.35,65.7,91.78,10.97,4.94,5.63,21.38,9.06,Low-RCAA/High-RCAP,South
14460,"Boston-Cambridge-Newton, MA-NH",Bost,4728844,3425461,341183,4951,345939,485208,4571659,467242,362085,75705,3320625,222643,77809,45902,85607,0.48,3268528,1784448,1094648,689800,379200,1274,1303383,72.44,7.21,0.1,7.32,10.26,27.56,126102,2.67,974672,20.61,677975,14.34,10.22,4104417,20.91,6.7,244599,4349016,5.62,289626,1484854,8.86,45.43,61.34,38.66,0.64,0.47,0.33,0.79,0.5,0.38,0.31,0.18,0.14,0.13,0.07,0.03,0.17,0.34,0.56,0.33,0.28,901,404,188,37,23,110,16,0,79,0,44.84,20.87,4.11,2.55,12.21,1.78,0,8.77,0,4.78,657351,359397,149777,1820566,2794743,601331,103456,108150,33585,21890,0,70503,0,94979,13171,473379,402023,71356,53.15,46.14,30.32,81.59,22.53,22.85,17.54,8.95,5.17,High-RCAA/Low-RCAP,Northeast
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",Buff,1135503,887996,135182,6019,32662,52307,1105421,160595,132384,47059,870015,79502,52303,26914,58489,0.46,788031,470460,312124,158336,129800,738,247507,78.2,11.91,0.53,2.88,4.61,21.8,21337,1.88,235026,20.7,189341,16.67,14.53,944826,35.55,9.14,81093,1025919,7.9,72117,240663,9.15,30.54,66.34,33.66,0.72,0.57,0.54,0.87,0.53,0.43,0.35,0.27,0.08,0.08,0.11,0.02,0.27,0.37,0.66,0.55,0.29,290,187,52,29,27,2,23,0,2,0,64.48,17.93,10,9.31,0.69,7.93,0,0.69,0,0.07,255807,141402,93620,738868,848503,126117,71904,2726,40138,29545,0,2419,0,2419,307,61202,55927,5275,83.21,50.95,53.19,95.55,11.89,4.45,4.33,36.43,7.14,Low-RCAA/High-RCAP,Northeast
16740,"Charlotte-Concord-Gastonia, NC-SC",Char,2381152,1491318,521944,7296,77281,229320,2345170,330068,517504,115542,1471748,137330,55191,38381,63705,0.48,1586447,885916,579260,306656,170400,893,889834,62.63,21.92,0.31,3.25,9.63,37.37,53993,2.27,586337,24.62,294217,12.36,14.07,2015102,22.33,9.33,192738,2207840,8.73,193360,521574,12.19,32.88,65.39,34.61,0.53,0.46,0.41,0.73,0.55,0.34,0.42,0.21,0.1,0.09,0.09,0.02,0.19,0.44,0.48,0.44,0.32,535,175,162,67,12,15,11,0,9,0,32.71,30.28,12.52,2.24,2.8,2.06,0,1.68,0,1.25,766545,433130,259182,664783,1305485,494399,171307,14777,16205,13421,0,7995,0,13066,1711,139988,115943,24045,44.58,55.56,32.82,87.54,13.09,10.56,6.9,6.96,8.09,High-RCAA/Low-RCAP,South
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Chic,9528396,5120829,1581068,9649,586358,2057681,9370576,1275936,1567779,445178,5037951,353785,63327,36017,76163,0.48,6360970,3464942,2223994,1240948,216000,1005,4407567,53.74,16.59,0.1,6.15,21.6,46.26,172811,1.81,2269501,23.82,1216819,12.77,13.62,8094640,28.4,7.02,922151,9016791,10.23,786419,2293876,12.36,36.06,64.19,35.81,0.76,0.53,0.63,0.71,0.66,0.37,0.37,0.23,0.12,0.11,0.07,0.03,0.24,0.43,0.51,0.34,0.33,2199,519,969,405,141,112,135,0,74,2,23.6,44.07,18.42,6.41,5.09,6.14,0,3.37,0.09,0.79,2711400,1834907,827070,2102938,4351696,2977147,1035759,94007,161101,146840,0,57411,723,80581,13426,708316,550128,158188,41.07,67.55,65.51,84.98,15.88,13.27,10.44,15.92,9.68,High-RCAA/High-RCAP,Midwest
17140,"Cincinnati, OH-KY-IN",Cinc,2146410,1725448,260490,2336,47771,62532,2097474,289442,253909,83981,1688740,173977,56861,28706,62189,0.47,1425750,830512,547447,283065,156100,767,420962,80.39,12.14,0.11,2.23,2.91,19.61,47833,2.23,517340,24.1,292538,13.63,13.8,1808032,33.08,10.3,115465,1923497,6,141727,452292,9.94,31.72,65.92,34.08,0.67,0.5,0.46,0.86,0.43,0.39,0.38,0.25,0.1,0.09,0.15,0.02,0.23,0.38,0.61,0.52,0.35,494,320,73,55,47,9,26,4,7,0,64.78,14.78,11.13,9.51,1.82,5.26,0.81,1.42,0,0.19,298890,152522,128023,1393643,1658196,166104,119252,10506,57977,27054,5660,5604,0,9052,1454,133476,120266,13210,80.77,39.46,45.78,96.1,14.48,7.87,4.66,23.43,5.38,Low-RCAA/High-RCAP,Midwest
17460,"Cleveland-Elyria, OH",Clev,2061630,1456689,406025,3104,43433,109928,2020037,306058,402066,134175,1430332,129070,51001,27537,59580,0.48,1427800,848772,552050,296722,140200,758,604941,70.66,19.69,0.15,2.11,5.33,29.34,42451,2.06,453054,21.98,342423,16.61,15.15,1713979,33.37,9.02,176988,1890967,9.36,149100,424131,10.44,29.71,65.04,34.96,0.73,0.59,0.63,0.83,0.6,0.43,0.41,0.28,0.1,0.09,0.1,0.02,0.3,0.44,0.63,0.46,0.32,632,293,213,159,90,7,81,0,6,0,46.36,33.7,25.16,14.24,1.11,12.82,0,0.95,0,0.08,389290,255663,194959,1062182,1349465,369539,266644,4944,86142,66858,0,3596,0,4410,534,114295,101282,13013,72.92,61.09,65.67,92.64,11.93,4.33,3.55,37.78,8.58,Low-RCAA/High-RCAP,Midwest
